UserID,Header,Body,IsRead,CreatedAt,CreatedBy,UpdatedAt,UpdatedBy
8,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-12 09:47:41,1,,
11,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-12 09:47:42,1,,
15,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-12 11:30:33,1,,
21,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-12 11:58:32,1,,
25,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-12 12:11:03,1,,
29,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-12 13:30:18,1,,
30,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-12 14:40:53,1,,
36,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-12 14:40:54,1,,
38,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-12 15:24:50,1,,
48,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-12 15:27:55,1,,
13,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-13 10:39:55,1,,
41,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-13 10:48:40,1,,
42,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-13 10:48:41,1,,
56,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-13 11:39:11,1,,
58,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-13 13:19:12,1,,
45,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-13 13:59:10,1,,
51,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-13 14:53:01,1,,
70,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-13 15:03:57,1,,
73,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-13 15:11:53,1,,
76,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-13 15:17:15,1,,
79,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-13 16:09:37,1,,
83,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-13 16:09:38,1,,
8,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-14 09:47:41,1,,
11,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-14 09:47:42,1,,
49,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-14 09:51:24,1,,
13,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-14 10:39:55,1,,
15,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-14 11:30:33,1,,
21,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-14 11:58:32,1,,
25,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-14 12:11:03,1,,
43,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-14 12:48:58,1,,
29,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-14 13:30:18,1,,
30,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-14 14:40:53,1,,
36,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-14 14:40:54,1,,
38,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-14 15:24:50,1,,
48,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-14 15:27:55,1,,
49,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-15 09:51:24,1,,
41,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-15 10:48:40,1,,
42,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-15 10:48:41,1,,
56,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-15 11:39:11,1,,
43,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-15 12:48:58,1,,
58,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-15 13:19:12,1,,
45,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-15 13:59:10,1,,
51,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-15 14:53:01,1,,
65,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-15 14:54:02,1,,
70,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-15 15:03:57,1,,
73,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-15 15:11:53,1,,
76,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-15 15:17:15,1,,
79,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-15 16:09:37,1,,
83,Fine Updated,Your outstanding fine balance was updated based on overdue time. Please clear your balance before new checkouts or holds.,0,2026-04-15 16:09:38,1,,
87,Fine Issued,A fine was issued to your account for an overdue returned item. Please pay before new checkouts or holds.,0,2026-04-15 16:32:40,1,,
